 Name of Industry,Address
Rapti Gas Industries Pvt. Ltd.,Dang
Rohini Agro Industries Pvt. Ltd.,Rupandehi
Aqua Minerals Nepal  Pvt. Ltd., ---
Shiddibinayak Plywood Industries Pvt. Ltd.,Jhapa
Shree Sama Printers Pvt. Ltd.,Lalitpur
Sugam Gas Industries Pvt. Ltd.,Vadgaun
Shree Mohini Distillery Pvt. Ltd.,Rupandehi
S. S. Jait and Food Industries Pvt. Ltd.,Pokhara
Maruti Cement Ltd.,Udayapur
Shree Salasar Metal Industries,Katahari
Shree Ram Cement Industries Pvt. Ltd.,Rupandehi
Shree Sangrila Distillaries Pvt. Ltd.,Dhanusha
Triveni Gas Industries Pvt. Ltd.,Dhading
Armet Minerals and Metals Nepal Pvt. Ltd.,Jajarkot
Shree Pestine Mat Industries Pvt. Ltd.,Bara
Shree Tigers Brewery Industries Pvt. Ltd., ---
Shreenagar Argo Farm Pvt. Ltd., ---
Shree Nebiko Pvt. Ltd.,Kathmandu
Shree Jay Bageshwori Cement Pvt. Ltd.,Banke
Karnali Distillery Pvt. Ltd.,Banke
Shree Quality Roto Packaging Pvt. Ltd.,Rupandehi
Shree Hama Spat,Bara
C.G. Foods Enterprises,Bardiya
Global Agro Products,Chitwan
Nawadurga Gas,Kavre
Name of Industry,Address
Shree Solar Orientation Pvt. Ltd.,Hetauda
Shree Cosmos Cement Pvt. Ltd., ---
Shree Grace Farmaceutical,Rupandehi
Shivalinga Herbal Nepal,Makawanpur
Ilam Chiyabari,Ilam
Green Manure Industries Pvt. Ltd.,Jhpa
Shree Meenaxi Products Pvt. Ltd.,Parsa
Shree Sky E. Farmaceuticals Pvt. Ltd.,Thimi
Tiger Ply and Board Industries,Dhanusha
Sherpa Brewery Pvt. Ltd.,Solukhumbu
Green Field Industries Pvt. Ltd.,Kapilbastu
Shree Evergreen Bambo Industries Pvt. Ltd.,Nawalparasi
Muktishree Cement Industries Pvt. Ltd.,Surkhet
Panchakanya S. S. Pvt. Ltd.,Kathmandu
Shree Innovative Farma Lab Pvt. Ltd.,Chitwan
Janakalyan Multi Products Pvt. Ltd., ---
Arva Parentals Pvt. Ltd.,Bara
Eco Cements Pvt. Ltd., ---
Shree Cristal Bottles Pvt. Ltd.,Rupandehi
Everest Lauda Coffee Industries Pvt. Ltd., ---
Shiva Shakti Daal Mill Pvt. Ltd., ---
Shree Veri Distillery and Alide Industries Pvt. Ltd., ---
Shree Nepal Eco Venture Tire Resolving Pvt. Ltd.,Bara
Shree Sherpa Brewery Pvt. Ltd.,Chitwan
Narayani Distillery Pvt. Ltd.,Rautahat
Aadi Remadies Pvt. Ltd.,Imadol
