Country of Origin,No. of Industries,Total Capital,Fixed Capital,Working Capital,Foreign Investment,Total No of Employment
Afganistan,2,5,4,1,5,45
Argentina,1,8,7.1,0.9,8,37
Australia,44,527.91,450.91,77,447.77,1242
Austria,17,215.56,166.16,49.4,88.36,616
Azerbaijan,3,25.9,20.6,5.3,25.9,165
Baharain,1,70,20,50,70,38
Bangladesh,33,597.15,326.6,270.55,332.56,4374
Belgium,13,101.37,76.2,25.17,89.44,445
Bermuda,6,1995.25,1694.03,301.22,118.27,1474
Bhutan,4,32.26,23.08,9.18,8.61,123
Brazil,7,566.07,532.88,33.19,545.83,590
Bri.virg.is,9,11182.2,8872.09,2310.11,4788.83,1668
Cambodia,1,5,2.5,2.5,5,14
Canada,31,7104.87,6889.58,215.29,2600.74,2107
China,575,20513.7,17119.9,3393.8,10631.99,31594
Colombia,2,34.1,27.9,6.2,8.7,26
Congo,1,2.5,2.1,0.4,2.5,28
Croatia,1,2.5,2.1,0.4,2.5,15
Cyprus,2,1010,982,28,307,265
Czech Republic,1,3.5,2.5,1,3.5,12
Denmark,28,913.19,794.16,119.03,259.54,1304
Ecuador,1,2.5,1.3,1.2,2.5,45
Egypt,3,22.1,16.2,5.9,14.1,119
Eritrea,1,2.5,1.8,0.7,2.5,15
Finland,5,25,19.76,5.24,14.55,149
France,62,681.75,567.17,114.58,376.2,2432
Germany,88,2476.33,2223.28,253.05,1019.62,4117
Ghana,1,6.5,6.18,0.32,1.95,0
Guatemala,1,10,5,5,2.5,84
Hong kong,23,10281.5,7343.34,2938.16,3778.34,3263
Hungeri,1,10,8.9,1.1,5,29
India,566,75799.9,62020.1,13779.8,37618.57,61632
Iran,10,59.7,42.95,16.75,53.2,224
Ireland,6,723.9,680.6,43.3,340.97,320
Israel,13,685.2,569.94,115.26,143.25,425
Italy,27,1534.31,1390.81,143.5,373.15,733
Japan,179,4012.33,3444.68,567.65,1521.37,7436
Kazakistan,3,15.4,13.03,2.37,15.4,67
Kyrgystan,4,36.5,32.05,4.45,22.5,175
Lebnon,2,7,5.5,1.5,7,49
Libiya,1,5,2.8,2.2,5,80
Malaysia,19,793.74,731.22,62.52,341.78,584
Mauritius,6,3030,2956.37,73.63,2895,922
Mexico,3,28.73,25.85,2.88,26.13,60
N. Korea,3,64.82,58.8,6.02,32.55,147
Netherlands,49,2167.49,1269.25,898.24,1345.82,3623
New zealand,11,317.63,257.71,59.92,51.07,2113
Norway,12,8116.59,6766.8,1349.79,1135.83,726
Pakistan,17,2179.28,1891.97,287.31,157.06,2451
Panama,1,83.28,65.17,18.11,24.98,121
Philippines,13,1192.12,1018.28,173.84,108.28,1709
Poland,7,138.22,128.55,9.67,55.39,194
Portugal,1,2.5,2,0.5,2.5,23
Qatar,1,570,267,303,147,35
Russia,23,355.86,272.49,83.37,208.09,985
S. Africa,5,47.3,37.84,9.46,47.3,137
S.Korea,194,10735,10091.8,643.23,6685.84,7696
Seychelles,1,7600,7372,228,684,100
Singapore,31,7156.32,6441.84,714.48,2135.39,2550
Slovenia,2,34.19,29.94,4.25,34.19,45
Spain,16,2146.52,2073.14,73.38,1897.23,487
Sri lanka,5,93.15,68.1,25.05,51.41,129
Sweden,10,45.4,35.66,9.74,42.6,289
Switzerland,42,1203.36,1082.24,121.12,784.53,1178
Syria,4,25,20.7,4.3,25,131
Taiwan,9,414.75,360.43,54.32,174.62,596
Tchad,1,2.5,1.86,0.64,2.5,18
Thailand,11,1032.37,884.79,147.58,116.29,1159
Turkey,13,627.7,575.32,52.38,640.2,491
UAE,12,4790.57,1952.04,2838.53,2291.16,1621
UK,120,4835.76,4267.54,568.22,1663.61,9156
Ukraine,4,131.7,120.15,11.55,48,121
USA,222,14771.2,13327.2,1444,5518.56,13729
Uzbekistan,2,15,11.2,3.8,15,78
Vietnam,2,24.6,22.8,1.8,24,55
Yemen,1,5,4.2,0.8,5,16
total,2652,216091.04,180904.09,35187.1,95085.6,181051
