District,No of Industry,Total Capital,Fixed Capital,Working Capital,Employment
Arghakhachi,1,39.62,35.45,4.17,113
Baglung,2,1123.3,1117,6.3,85
Baitadi,3,67,59.5,7.5,214
Bajhang,4,783.3,758.8,24.5,285
Banke,4,1843.5,1702.5,141,1374
Bara,13,2093.25,1664.68,428.56,1290
Bardiya,1,6.2,5,1.2,32
Bhaktapur,3,196.01,164.47,31.54,160
Chitwan,15,3488.96,3093.33,395.62,1557
Dadeldhura,1,14.5,11.5,3,28
Dailekh,2,736.75,729.25,7.5,68
Dang,2,109.63,67.62,42.01,98
Darchula,2,237.54,220.27,17.27,182
Dhading,3,760,408,352,154
DhanUSha,2,259,221,38,269
Dolkha,5,6787.6,6733.1,54.5,221
Doti,3,1220,1208.5,11.5,121
Gorkha,2,1150,1115,35,355
Humla,1,10,6,4,21
Ilam,7,4689.39,4385.44,303.95,289
Jajarkot,1,50,46,4,55
Jhapa,4,257.04,198.04,59,308
Kailali,4,165,151.7,13.3,290
Kanchanpur,3,43,35.3,7.7,128
Kapilbastu,3,207,158,49,184
Kaski,33,10030.63,9496.55,534.08,1469
Kathmandu,162,8255.11,5502.26,2752.85,7736
Kavre,6,596.04,532.91,63.13,343
Khotang,2,958.5,951.5,7,87
Lalitpur,55,4765.41,1814.36,2951.04,2572
Lamjung,5,6502.4,6414.4,88,221
MaKWanpur,9,3141,2524.4,616.6,711
Morang,12,696.4,436.9,259.5,708
Mugu,1,8.6,6,2.6,18
MUStang,1,100,97,3,50
Myagdi,5,10260,10121.86,138.14,206
Nawalparasi,3,162.08,127.8,34.28,223
Nuwakot,5,5140,5066.2,73.8,244
Okhaldhunda,1,1214,1200,14,50
Panchathar,1,1388.35,1359.56,28.78,24
Parsa,8,1349.8,1063.3,286.5,1589
Ramechhap,1,410.56,404.3,6.25,59
Rasuwa,2,3050,3020,30,128
Rautahat,2,130,99.6,30.4,185
Rupandehi,15,2172.62,1655.2,517.43,1210
Sankhuwasabha,2,1550,1538.5,11.5,70
Saptari,1,20,10.5,9.5,46
Sindhupalchowk,4,21980.69,21367.69,613,1175
Siraha,1,970.02,828.82,141.2,226
SolUKhumbu,5,4361,4254.7,106.3,307
Sunsari,6,446,357.7,88.3,395
Surkhet,3,2030.36,1872.8,157.56,469
Tanahu,1,4,2.5,1.5,19
Tehrathum,2,1560,1553,7,84
TOTAL,445,119591.13,107975.77,11615.36,28505
