District,No. Of Industry,Total Project Cost,Total Fixed Cost,Foreign Investment,Employment
Jhapa,2,15,13.5,10,50
Morang,3,379.4,220.4,354.7,343
Saptari,1,20,10.5,17,46
Solukhumbu,2,330,288.5,82,141
Bara,5,525.2,324.65,203.6,247
Bhaktapur,5,2545.21,2434.16,2261.4,824
Chitwan,6,1318.18,1164.2,218.3,835
Dhading,2,59,48.5,54,90
Kathmandu,167,18921.82,14273.89,8237,7366
Kavre,2,311.28,273.99,306.28,196
Lalitpur,53,4300.75,898.46,4202.58,2416
Makwanpur,5,3060,2433.5,568.01,440
Nuwakot,2,30,19.7,15,94
Parsa,2,54.6,36,49.5,87
Rautahat,1,10,6.6,10,50
Sindhupalchowk,2,250,207,49,84
Baglung,1,500,250,500,290
Kaski,29,6418.43,5998.93,964.06,1132
Lamjung,1,1976,1956,395.2,52
Nawalparasi,4,4059.36,3750,665.91,539
Rupandehi,4,608,534.18,249.5,369
Tanahu,1,4,2.5,4,19
Banke,4,1571.4,1475.9,255.93,203
Bardiya,2,51.2,35,50,90
Dang,2,4525,4272,105,220
Humla,1,10,6,10,21
Mugu,1,8.6,6,8.6,18
Surkhet,1,20.36,15,10.17,27
Baitadi,1,17,15,17,50
Dadeldhura,1,18,15,4.5,28
Kailali,1,25,22,25,65
Kanchanpur,3,48,39.3,33,137
Total,317,51990.78,41046.35,19936.23,16569
